Drug IDs,GenBank Protein ID,Gene Name,Function,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,HPRD ID,Species
DB00907,184039,SCN5A,Sodium channel protein type 5 subunit alpha,M77235,Q14524,SCN5A_HUMAN,,SCN5A,SCN5A,HGNC:10593,2543,Homo sapiens
DB01031,29600,CA1,Carbonic anhydrase 1,X05014,P00915,CAH1_HUMAN,1CZM,CA1,CA1,HGNC:1368,265,Homo sapiens
DB01031,179780,CA2,Carbonic anhydrase 2,M77181,P00918,CAH2_HUMAN,1T9N,CA2,CA2,HGNC:1373,2023,Homo sapiens
DB01577,178194,ADRA2C,Alpha-2C adrenergic receptor,J03853,P18825,ADA2C_HUMAN,1HOF,ADRA2C,ADRA2C,HGNC:283,85,Homo sapiens
DB01185,190362,PRLR,Prolactin receptor,M31661,P16471,PRLR_HUMAN,1BP3,PRLR,PRLR,HGNC:9446,1457,Homo sapiens
DB00574,475198,HTR2B,5-hydroxytryptamine 2B receptor,X77307,P41595,5HT2B_HUMAN,,HTR2B,HTR2B,HGNC:5294,3077,Homo sapiens
DB01520,1899202,GRIN2B,Glutamate [NMDA] receptor subunit epsilon-2,U90278,Q13224,NMDE2_HUMAN,,GRIN2B,GRIN2B,HGNC:4586,697,Homo sapiens
DB01520,1196449,GRIN2C,Glutamate [NMDA] receptor subunit epsilon-3,L76224,Q14957,NMDE3_HUMAN,,GRIN2C,GRIN2C,HGNC:4587,699,Homo sapiens
DB01520,3025446,GRIN3B,Glutamate [NMDA] receptor subunit 3B,AC004528,O60391,NMD3B_HUMAN,,GRIN3B,GRIN3B,HGNC:16768,9444,Homo sapiens
DB01577,178198,ADRA2B,Alpha-2B adrenergic receptor,M34041,P18089,ADA2B_HUMAN,1HOF,ADRA2B,ADRA2B,HGNC:282,86,Homo sapiens
DB01520,558749,GRIN2A,Glutamate [NMDA] receptor subunit epsilon-1,U09002,Q12879,NMDE1_HUMAN,,GRIN2A,GRIN2A,HGNC:4585,698,Homo sapiens
DB00182,609306,CARTPT,Cocaine- and amphetamine-regulated transcript protein,U16826,Q16568,CART_HUMAN,1HY9,CARTPT,CARTPT,HGNC:24323,4006,Homo sapiens
DB01488,1162924,HTR6,5-hydroxytryptamine 6 receptor,L41147,P50406,5HT6R_HUMAN,,HTR6,HTR6,HGNC:5301,3066,Homo sapiens
