"","x"
"1",208500
"2",181500
"3",223500
"4",140000
"5",250000
"6",143000
"7",307000
"8",200000
"9",129900
"10",118000
"11",129500
"12",345000
"13",144000
"14",279500
"15",157000
"16",132000
"17",149000
"18",90000
"19",159000
"20",139000
"21",325300
"22",139400
"23",230000
"24",129900
"25",154000
"26",256300
"27",134800
"28",306000
"29",207500
"30",68500
"31",40000
"32",149350
"33",179900
"34",165500
"35",277500
"36",309000
"37",145000
"38",153000
"39",109000
"40",82000
"41",160000
"42",170000
"43",144000
"44",130250
"45",141000
"46",319900
"47",239686
"48",249700
"49",113000
"50",127000
"51",177000
"52",114500
"53",110000
"54",385000
"55",130000
"56",180500
"57",172500
"58",196500
"59",438780
"60",124900
"61",158000
"62",101000
"63",202500
"64",140000
"65",219500
"66",317000
"67",180000
"68",226000
"69",80000
"70",225000
"71",244000
"72",129500
"73",185000
"74",144900
"75",107400
"76",91000
"77",135750
"78",127000
"79",136500
"80",110000
"81",193500
"82",153500
"83",245000
"84",126500
"85",168500
"86",260000
"87",174000
"88",164500
"89",85000
"90",123600
"91",109900
"92",98600
"93",163500
"94",133900
"95",204750
"96",185000
"97",214000
"98",94750
"99",83000
"100",128950
"101",205000
"102",178000
"103",118964
"104",198900
"105",169500
"106",250000
"107",100000
"108",115000
"109",115000
"110",190000
"111",136900
"112",180000
"113",383970
"114",217000
"115",259500
"116",176000
"117",139000
"118",155000
"119",320000
"120",163990
"121",180000
"122",100000
"123",136000
"124",153900
"125",181000
"126",84500
"127",128000
"128",87000
"129",155000
"130",150000
"131",226000
"132",244000
"133",150750
"134",220000
"135",180000
"136",174000
"137",143000
"138",171000
"139",230000
"140",231500
"141",115000
"142",260000
"143",166000
"144",204000
"145",125000
"146",130000
"147",105000
"148",222500
"149",141000
"150",115000
"151",122000
"152",372402
"153",190000
"154",235000
"155",125000
"156",79000
"157",109500
"158",269500
"159",254900
"160",320000
"161",162500
"162",412500
"163",220000
"164",103200
"165",152000
"166",127500
"167",190000
"168",325624
"169",183500
"170",228000
"171",128500
"172",215000
"173",239000
"174",163000
"175",184000
"176",243000
"177",211000
"178",172500
"179",501837
"180",100000
"181",177000
