"","x"
"1",8450
"2",9600
"3",11250
"4",9550
"5",14260
"6",14115
"7",10084
"8",10382
"9",6120
"10",7420
"11",11200
"12",11924
"13",12968
"14",10652
"15",10920
"16",6120
"17",11241
"18",10791
"19",13695
"20",7560
"21",14215
"22",7449
"23",9742
"24",4224
"25",8246
"26",14230
"27",7200
"28",11478
"29",16321
"30",6324
"31",8500
"32",8544
"33",11049
"34",10552
"35",7313
"36",13418
"37",10859
"38",8532
"39",7922
"40",6040
"41",8658
"42",16905
"43",9180
"44",9200
"45",7945
"46",7658
"47",12822
"48",11096
"49",4456
"50",7742
"51",13869
"52",6240
"53",8472
"54",50271
"55",7134
"56",10175
"57",2645
"58",11645
"59",13682
"60",7200
"61",13072
"62",7200
"63",6442
"64",10300
"65",9375
"66",9591
"67",19900
"68",10665
"69",4608
"70",15593
"71",13651
"72",7599
"73",10141
"74",10200
"75",5790
"76",1596
"77",8475
"78",8635
"79",10778
"80",10440
"81",13000
"82",4500
"83",10206
"84",8892
"85",8530
"86",16059
"87",11911
"88",3951
"89",8470
"90",8070
"91",7200
"92",8500
"93",13360
"94",7200
"95",9337
"96",9765
"97",10264
"98",10921
"99",10625
"100",9320
"101",10603
"102",9206
"103",7018
"104",10402
"105",7758
"106",9375
"107",10800
"108",6000
"109",8500
"110",11751
"111",9525
"112",7750
"113",9965
"114",21000
"115",7259
"116",3230
"117",11616
"118",8536
"119",12376
"120",8461
"121",21453
"122",6060
"123",9464
"124",7892
"125",17043
"126",6780
"127",4928
"128",4388
"129",7590
"130",8973
"131",14200
"132",12224
"133",7388
"134",6853
"135",10335
"136",10400
"137",10355
"138",11070
"139",9066
"140",15426
"141",10500
"142",11645
"143",8520
"144",10335
"145",9100
"146",2522
"147",6120
"148",9505
"149",7500
"150",6240
"151",10356
"152",13891
"153",14803
"154",13500
"155",11340
"156",9600
"157",7200
"158",12003
"159",12552
"160",19378
"161",11120
"162",13688
"163",12182
"164",5500
"165",5400
"166",10106
"167",10708
"168",10562
"169",8244
"170",16669
"171",12358
"172",31770
"173",5306
"174",10197
"175",12416
"176",12615
"177",10029
"178",13650
"179",17423
"180",8520
"181",2117
"182",7588
"183",9060
"184",11426
"185",7438
"186",22950
"187",9947
"188",10410
"189",7018
"190",4923
"191",10570
"192",7472
"193",9017
"194",2522
"195",7180
"196",2280
"197",9416
"198",25419
"199",5520
"200",9591
"201",8546
"202",10125
"203",7000
"204",4438
"205",3500
"206",11851
"207",13673
"208",12493
"209",14364
"210",8250
"211",5604
"212",10420
"213",8640
"214",13568
"215",10900
"216",10011
"217",8450
"218",9906
"219",15660
"220",3010
"221",8990
"222",8068
"223",11475
"224",10500
"225",13472
"226",1680
"227",9950
"228",1869
"229",8521
"230",3182
"231",8760
"232",15138
"233",1680
"234",10650
"235",7851
"236",1680
"237",8773
"238",9453
"239",12030
"240",8741
"241",9000
"242",3880
"243",5000
"244",10762
"245",8880
"246",10400
"247",9142
"248",11310
"249",11317
"250",159000
"251",5350
"252",4750
"253",8366
"254",9350
"255",8400
"256",8738
"257",8791
"258",8814
"259",12435
"260",12702
"261",19296
"262",9588
"263",8471
"264",5500
"265",5232
"266",12090
"267",11207
"268",8400
"269",6900
"270",7917
"271",10728
"272",39104
"273",11764
"274",9600
"275",8314
"276",7264
"277",9196
"278",19138
"279",14450
"280",10005
"281",11287
"282",7200
"283",5063
"284",9612
"285",8012
"286",4251
"287",9786
"288",8125
"289",9819
"290",8730
"291",15611
"292",5687
"293",11409
"294",16659
"295",9600
"296",7937
"297",13710
"298",7399
"299",11700
"300",14000
"301",15750
"302",16226
"303",13704
"304",9800
"305",18386
"306",10386
"307",13474
"308",7920
"309",12342
"310",12378
"311",7685
"312",8000
"313",7800
"314",215245
"315",9600
"316",7795
"317",13005
"318",9000
"319",9900
"320",14115
"321",16259
"322",12099
"323",10380
"324",5820
"325",11275
"326",5000
"327",10846
"328",11600
"329",11888
"330",6402
"331",10624
"332",8176
"333",10655
"334",8198
"335",9042
"336",164660
"337",14157
"338",9135
"339",14145
"340",12400
"341",14191
"342",8400
"343",8544
"344",8849
"345",2592
"346",6435
"347",12772
"348",17600
"349",2448
"350",20431
"351",7820
"352",5271
"353",9084
"354",8520
"355",8400
"356",11249
"357",9248
"358",4224
"359",6930
"360",12011
"361",7540
"362",9144
"363",7301
"364",1680
"365",18800
"366",10690
"367",9500
"368",9150
"369",7800
"370",9830
"371",8121
"372",17120
"373",7175
"374",10634
"375",8200
"376",10020
"377",8846
"378",11143
"379",11394
"380",8123
"381",5000
"382",7200
"383",9245
"384",9000
"385",53107
"386",3182
"387",8410
"388",7200
"389",9382
"390",12474
"391",8405
"392",12209
"393",8339
"394",7446
"395",10134
"396",9571
"397",7200
"398",7590
"399",8967
"400",8125
"401",14963
"402",8767
"403",10200
"404",12090
"405",10364
"406",9991
"407",10480
"408",15576
"409",14154
"410",10800
"411",9571
"412",34650
"413",4403
"414",8960
"415",11228
"416",8899
"417",7844
"418",22420
"419",8160
"420",8450
"421",7060
"422",16635
"423",21750
"424",9200
"425",9000
"426",3378
"427",12800
"428",8593
"429",6762
"430",11457
"431",1680
"432",5586
"433",1920
"434",10839
"435",1890
"436",10667
"437",4400
"438",6000
"439",4280
"440",12354
"441",15431
"442",12108
"443",6240
"444",3922
"445",8750
"446",9855
"447",16492
"448",11214
"449",8600
"450",6000
"451",5684
"452",70761
"453",9303
"454",9000
"455",9297
"456",9600
"457",4571
"458",53227
"459",5100
"460",7015
"461",8004
"462",7200
"463",8281
"464",11988
"465",8430
"466",3072
"467",10628
"468",9480
"469",11428
"470",9291
"471",6820
"472",11952
"473",3675
"474",14977
"475",5330
"476",8480
"477",13125
"478",13693
"479",10637
"480",5925
"481",16033
"482",11846
"483",2500
"484",4500
"485",7758
"486",9600
"487",10289
"488",12243
"489",10800
"490",1526
"491",2665
"492",9490
"493",15578
"494",7931
"495",5784
"496",7879
"497",12692
"498",9120
"499",7800
"500",7535
"501",1890
"502",9803
"503",9170
"504",15602
"505",2308
"506",7596
"507",9554
"508",7862
"509",9600
"510",9600
"511",14559
"512",6792
"513",9100
"514",9187
"515",10594
"516",12220
"517",10448
"518",10208
"519",9531
"520",10918
"521",10800
"522",11988
"523",5000
"524",40094
"525",11787
"526",7500
"527",13300
"528",14948
"529",9098
"530",32668
"531",10200
"532",6155
"533",7200
"534",5000
"535",9056
"536",7000
"537",8924
"538",12735
"539",11553
"540",11423
"541",14601
"542",11000
"543",10140
"544",4058
"545",17104
"546",13837
"547",8737
"548",7244
"549",8235
"550",9375
"551",4043
"552",6000
"553",11146
"554",8777
"555",10625
"556",6380
"557",14850
"558",11040
"559",21872
"560",3196
"561",11341
"562",10010
"563",13907
"564",21780
"565",13346
"566",6858
"567",11198
"568",10171
"569",12327
"570",7032
"571",13101
"572",7332
"573",13159
"574",9967
"575",10500
"576",8480
"577",6292
"578",11777
"579",3604
"580",12150
"581",14585
"582",12704
"583",11841
"584",13500
"585",6120
"586",11443
"587",10267
"588",8740
"589",25095
"590",9100
"591",8320
"592",13478
"593",6600
"594",4435
"595",7990
"596",11302
"597",3600
"598",3922
"599",12984
"600",1950
"601",10927
"602",9000
"603",10041
"604",3182
"605",12803
"606",13600
"607",12464
"608",7800
"609",12168
"610",7943
"611",11050
"612",10395
"613",11885
"614",8402
"615",1491
"616",8800
"617",7861
"618",7227
"619",11694
"620",12244
"621",8248
"622",10800
"623",7064
"624",2117
"625",10400
"626",10000
"627",12342
"628",9600
"629",11606
"630",9020
"631",9000
"632",4590
"633",11900
"634",9250
"635",6979
"636",10896
"637",6120
"638",6000
"639",8777
"640",3982
"641",12677
"642",7050
"643",13860
"644",10793
"645",9187
"646",10530
"647",7200
"648",10452
"649",7700
"650",1936
"651",8125
"652",9084
"653",8750
"654",10320
"655",10437
"656",1680
"657",10007
"658",7200
"659",17503
"660",9937
"661",12384
"662",46589
"663",13560
"664",10012
"665",20896
"666",11194
"667",18450
"668",8125
"669",14175
"670",11600
"671",8633
"672",6629
"673",11250
"674",14442
"675",9200
"676",2289
"677",9600
"678",9022
"679",11844
"680",9945
"681",8012
"682",4500
"683",2887
"684",11248
"685",16770
"686",5062
"687",10207
"688",5105
"689",8089
"690",7577
"691",4426
"692",21535
"693",26178
"694",5400
"695",6120
"696",13811
"697",6000
"698",6420
"699",8450
"700",4282
"701",14331
"702",9600
"703",12438
"704",7630
"705",8400
"706",5600
"707",115149
"708",6240
"709",9018
"710",7162
"711",4130
"712",8712
"713",4671
"714",9873
"715",13517
"716",10140
"717",10800
"718",10000
"719",10542
"720",9920
"721",6563
"722",4426
"723",8120
"724",8172
"725",13286
"726",6960
"727",21695
"728",7314
"729",11475
"730",6240
"731",5389
"732",9590
"733",11404
"734",10000
"735",8978
"736",10800
"737",8544
"738",10463
"739",10800
"740",9313
"741",9600
"742",6768
"743",8450
"744",12886
"745",5395
"746",8963
"747",8795
"748",11700
"749",10593
"750",8405
"751",8800
"752",7750
"753",9236
"754",10240
"755",7930
"756",3230
"757",10769
"758",11616
"759",2280
"760",12257
"761",9100
"762",6911
"763",8640
"764",9430
"765",9549
"766",14587
"767",10421
"768",12508
"769",9100
"770",53504
"771",7252
"772",8877
"773",7819
"774",10150
"775",14226
"776",4500
"777",11210
"778",13350
"779",8400
"780",10530
"781",7875
"782",7153
"783",16285
"784",9101
"785",6300
"786",9790
"787",10800
"788",10142
"789",6000
"790",12205
"791",3182
"792",11333
"793",9920
"794",9158
"795",10832
"796",8400
"797",8197
"798",7677
"799",13518
"800",7200
"801",12798
"802",4800
"803",8199
"804",13891
"805",9000
"806",12274
"807",9750
"808",21384
"809",13400
"810",8100
"811",10140
"812",4438
"813",8712
"814",9750
"815",8248
"816",12137
"817",11425
"818",13265
"819",8816
"820",6371
"821",7226
"822",6000
"823",12394
"824",9900
"825",11216
"826",14803
"827",6130
"828",8529
"829",28698
"830",2544
"831",11900
"832",3180
"833",9548
"834",10004
"835",7875
"836",9600
"837",8100
"838",1680
"839",9525
"840",11767
"841",12155
"842",10440
"843",9020
"844",8000
"845",12665
"846",16647
"847",9317
"848",15523
"849",45600
"850",9600
"851",4435
"852",3196
"853",7128
"854",12095
"855",17920
"856",6897
"857",10970
"858",8125
"859",10400
"860",11029
"861",7642
"862",11625
"863",9672
"864",7931
"865",8640
"866",8750
"867",10656
"868",6970
"869",14762
"870",9938
"871",6600
"872",8750
"873",8892
"874",12144
"875",5720
"876",9000
"877",25286
"878",8834
"879",11782
"880",7000
"881",7024
"882",13758
"883",9636
"884",6204
"885",7150
"886",5119
"887",8393
"888",16466
"889",15865
"890",12160
"891",8064
"892",11184
"893",8414
"894",13284
"895",7018
"896",7056
"897",8765
"898",7018
"899",12919
"900",6993
"901",7340
"902",8712
"903",7875
"904",14859
"905",6173
"906",9920
"907",13501
"908",11500
"909",8885
"910",12589
"911",11600
"912",9286
"913",6120
"914",6270
"915",3000
"916",2001
"917",9000
"918",17140
"919",13125
"920",11029
"921",8462
"922",8777
"923",10237
"924",8012
"925",10240
"926",15611
"927",11999
"928",9900
"929",11838
"930",13006
"931",8925
"932",9100
"933",11670
"934",8487
"935",27650
"936",5825
"937",10083
"938",9675
"939",8760
"940",24090
"941",12640
"942",8755
"943",7711
"944",25000
"945",14375
"946",8820
"947",8163
"948",14536
"949",14006
"950",9360
"951",7200
"952",7800
"953",7200
"954",11075
"955",9400
"956",7136
"957",1300
"958",7420
"959",8450
"960",2572
"961",7207
"962",12227
"963",2308
"964",11923
"965",11316
"966",10237
"967",9600
"968",7390
"969",5925
"970",10382
"971",10800
"972",2268
"973",7892
"974",11639
"975",11414
"976",2651
"977",5900
"978",4274
"979",9450
"980",8816
"981",12122
"982",12203
"983",3182
"984",11250
"985",10125
"986",10880
"987",5310
"988",10159
"989",12046
"990",8125
"991",9452
"992",17671
"993",9760
"994",8846
"995",12456
"996",4712
"997",10659
"998",11717
"999",9786
"1000",6762
"1001",10206
"1002",5400
"1003",11957
"1004",11500
"1005",3182
"1006",8385
"1007",12155
"1008",2217
"1009",12118
"1010",6000
"1011",21286
"1012",9825
"1013",10592
"1014",7200
"1015",11664
"1016",8400
"1017",11883
"1018",5814
"1019",10784
"1020",3013
"1021",7024
"1022",7406
"1023",9439
"1024",3182
"1025",15498
"1026",7700
"1027",9300
"1028",9520
"1029",9492
"1030",1680
"1031",7082
"1032",15863
"1033",14541
"1034",8125
"1035",6305
"1036",11500
"1037",12898
"1038",9240
"1039",1533
"1040",1477
"1041",13125
"1042",9130
"1043",5381
"1044",11839
"1045",9600
"1046",13680
"1047",16056
"1048",9245
"1049",21750
"1050",11100
"1051",8993
"1052",11175
"1053",9500
"1054",8562
"1055",11367
"1056",11361
"1057",7052
"1058",29959
"1059",11308
"1060",11275
"1061",4920
"1062",18000
"1063",13600
"1064",6000
"1065",11000
